?????,"??????? ?? (?????, ???????, ???.)",??? ?? ??????? ??????,??? ?? ??????,??????? ????????,?????????,??????,???????? ?????,??? (?? ??????),????????? ??????? ??????,??? (?????? ?? ?????? ???????),??????? ?????????? (?????? ? ??.),???? ??? ???????? ?? ????????
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"300,000.00",72,12.89,13.82,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ???????????
??? ? ?????? ?? ??????? ?????????? ??????? ??????/??????
??????? ?????? ?? ??????????? ??????
5.55%
??????????????? ?????? 1000???

",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"12,300,000.00",240,1.9,2.02,"???????????? ?????? ????????? ?? ??????? ?? ??????? ???????????
20?. ?? ????? ?? ??????????
70?. ?? ????? ?? ??????????? ( 75 ?? ??????? ??-??????????????)
????????? ?????? ?? ????????? ??? ? ?????? ???? ????????????
1) ??????????? ?????? 600???
2) ??????????????? ?????? 0,50%



",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,????? ?????,???????????,????????????-??????????,??,??,???,"300,000.00",72,12.89,13.82,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ???????????
??? ? ?????? ?? ??????? ?????????? ??????? ??????/??????
??????? ?????? ?? ??????????? ??????
6.00%
??????????????? ?????? 1000???

",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"12,300,000.00",240,1.9,2.02,"???????????? ?????? ????????? ?? ??????? ?? ??????? ???????????
20?. ?? ????? ?? ??????????
70?. ?? ????? ?? ??????????? ( 75 ?? ??????? ??-??????????????)
????????? ?????? ?? ????????? ??? ? ?????? ???? ????????????
1) ??????????? ?????? 600???
2) ??????????????? ?????? 0,50%



",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"1,500,000.00",120,5.8,9.33,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ??????????? ( 70 ?? ??????? ??-??????????????)
11,60% ?? ?????? ?? 300.000 ???
10.70% ?? ?????? ??? 300.001 ???
1) ??????????? ?????? 600???
2) ??????????????? ?????? 2%
3) ?????? ?? ??????????? ?? ??????? ??????? ?? ??????????? ?? ????????
??????? ?? ???????? ????????????? ?? ????????? ?? ??????
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"1,500,000.00",120,6,9.27,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ??????????? ( 70 ?? ??????? ??-??????????????)
11,60% ?? ?????? ?? 300.000 ???
10.70% ?? ?????? ??? 300.001 ???
1) ??????????? ?????? 600???
2) ??????????????? ?????? 2%
3) ?????? ?? ??????????? ?? ??????? 600???
??????? ?? ???????? ????????????? ?? ????????? ?? ??????
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,????? ?????,???????????,????????????-??????????,??,??,???,"1,500,000.00",120,5.8,10.09,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ??????????? ( 70 ?? ??????? ??-??????????????)
12,89% ?? ?????? ?? 300.000 ???
11,89% ?? ?????? ??? 300.001 ???
1) ??????????? ?????? 600???
2) ??????????????? ?????? 2%
3) ?????? ?? ??????????? ?? ??????? ??????? ?? ??????????? ?? ????????
??????? ?? ???????? ????????????? ?? ????????? ?? ??????
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,????? ?????,???????????,????????????-??????????,??,??,???,"1,500,000.00",120,6,10.03,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
67?. ?? ????? ?? ??????????? ( 70 ?? ??????? ??-??????????????)
11,60% ?? ?????? ?? 300.000 ???
10.70% ?? ?????? ??? 300.001 ???
1) ??????????? ?????? 600???
2) ??????????????? ?????? 2%
3) ?????? ?? ??????????? ?? ??????? 400 ??? ?? ?????? ?? 300.000 ??? , 600??? ?? ?????? ??? 300.000???
??????? ?? ???????? ????????????? ?? ????????? ?? ??????
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"200,000.00",240,1.9,2.02,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
70?. ?? ????? ?? ??????????? ( 75 ?? ??????? ??-??????????????)
??? (??????) ? ?????? ?? ??????? ?????????? ??????? ??????/??????
????????? ?????? ?? ????????? ??? ? ?????? ???? ????????????
1) ??????????? ?????? 600???
2) ??????????????? ?????? 0.50%
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"200,000.00",240,2,2.13,"???????? ??????? ?? ???????? ??? ??????????/??????????? ?? ???????? 
20?. ?? ????? ?? ??????????
70?. ?? ????? ?? ??????????? ( 75 ?? ??????? ??-??????????????)
??? (??????) ? ?????? ?? ??????? ?????????? ??????? ??????/??????
????????? ?????? ?? ????????? ??? ? ?????? ???? ????????????
1) ??????????? ?????? 600???
2) ??????????????? ?????? 0.50%
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,"12,300,000.00",360,2,,"????????? ?????? ?? ????????? ??? ? ?????? ???? ???????????? + 2??
1) ??????????? ?????? 600???
2) ??????????????? ?????? 0,50%
70?. ?? ????? ?? ??????????? ( 75 ?? ??????? ??-??????????????)
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,200000.00,360,4.5,,"4,50 ?????? 36 ?????? , 6,85?? + 6 ??????? ???????, 15% ??????? (6,94%)
1) ??????????? ?????? 600???
2) ?????? ?? ?????????? ?????? ???? 400???
3) ??????????????? ?????? 2%
4) ????????????? ?????? 2500???
??????? ?? ??????????? ?? ???????? ??? ? ???? ?? ???????? ?? ???????? ?? ??????????
",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,,360,3.65,3.7,"3,65% ?????? ?? ?????? 5 ??????
?? ????????? ?? ??????????????, ??????? 70% ?? ??????????? ???????? ?? ???????????;

- ????? 3,7% + 6 ??????? ???????, ??????? 6%",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
????????? ????? ?? ??????,???????,???????????,????????????-??????????,??,??,???,,360,3.95,4.08,"3,95 ?????? ?? ?????? 10 ?????? 

- ????? 3,7% + 6 ??????? ???????, ??????? 6%
?? ????????? ?? ??????????????, ??????? 70% ?? ??????????? ???????? ?? ???????????;",https://www.stb.com.mk/media/4373/%D1%82%D0%B0%D0%B1%D0%B5%D0%BB%D0%B8-%D0%B7%D0%B0-%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B8-%D0%B8-%D0%B4%D0%B5%D0%BF%D0%BE%D0%B7%D0%B8%D1%82%D0%B8-%D1%81%D0%BE-%D0%B4%D0%BE%D0%BF%D0%BE%D0%BB%D0%BD%D1%83%D0%B2%D0%B0nj%D0%B0-01-02-2025.xlsx
